coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
646906,"V. Demoulin",,1971,,"Lycoperdon umbrinum",,Pers.,,,,,,"The two biggest specimens, the three other belong to L. molle Pers. In a loose sense the represent a California form hard to separate from L. umbrinum.",urn:uuid:20b8bd44-b504-4898-a504-b9673040cdaf,"2012-12-08 17:06:07"
646908,"V. Demoulin",,1971,,"Lycoperdon ericaeum",,Bonord.,,,,,,"In a broad sense I sometimes call this var. subareolatum Kreisel; L. muscorum Morg. is synonymous but if this variant deserves a specific {?} would be a good the good name",urn:uuid:623131bb-c01d-4e40-9028-791a273da1ac,"2012-12-08 17:46:24"
646908,"assumed to be collector",,"assumed to be collection date",,"Lycoperdon pyriforme",,Willd.,,,,,,,urn:uuid:18053fd2-a0ff-4167-94cf-37ab7acd29fe,"2012-12-08 17:46:24"
646909,"V. Demoulin",,1971,sp.,Lycoperdon,,,,,,,,"Lycoperdon sp. my undescribed species {?} (stirps molle)",urn:uuid:29b1aa93-2f10-44c6-a548-493f45863c3c,"2012-12-08 18:05:27"
646909,"assumed to be collector",,"assumed to be collection date",,"Lycoperdon polymorphum",,Vittad.,,,,,,,urn:uuid:aa1cd3a8-483b-4eca-9a18-8c9b9185dcc9,"2012-12-08 18:05:27"
646909,"V. Demoulin",,unknown,,"Lycoperdon lambinonii",,Demoulin,,,,,,"Corrected to L. lambinonii Demoulin on the labeled (assumed after communication with Demoulin).",urn:uuid:0fb15139-f4ff-4778-b43d-90772243e536,"2012-12-08 18:06:54"
666991,Vellinga,,"Aug 2014",,"Boletus regineus",,"Arora & Simonini",,,,,,"for the west coast species formerly called B. aereus",urn:uuid:ee0f8f6c-257b-4384-94f8-172639b8fcd1,"2014-08-28 13:04:17"
666991,unknown,,unknown,,"Boletus aereus",,Bull.,,,,,,,urn:uuid:bdc61b95-4f83-4149-995d-9ef1ac05827b,"2014-08-28 13:04:17"
666987,Vellinga,,"Aug 2014",,"Boletus regineus",,"Arora & Simonini",,,,,,"replaces the name B. aereus for west coast specimens",urn:uuid:ae4d61bc-6f4a-4b22-a63c-2610a5b45f69,"2014-08-28 13:08:07"
666987,unknown,,unknown,,"Boletus aereus",,Bull.,,,,,,,urn:uuid:293044e9-502b-43ba-bb9d-bae0c375d124,"2014-08-28 13:08:07"
666967,Vellinga,,"Aug 2014",,"Boletus regineus",,"Arora & Simonini",,,,,,"name replaces B. aereus for western North American specimens",urn:uuid:27c3f77c-4e00-41be-9a10-b19b8504da25,"2014-08-28 13:12:23"
666967,Sweringen,,unknown,,"Boletus aereus",,Bull.,,,,,,,urn:uuid:a017ac94-cdf0-4b11-8ca5-87e6cd8a49fc,"2014-08-28 13:12:23"
666964,Vellinga,,"Aug 2014",,"Boletus regineus",,"Arora & Simonini",,,,,,"replaces the name B. aereus for west coast specimens",urn:uuid:be804b0e-2461-4ab1-a553-bb0443926392,"2014-08-28 13:13:21"
666964,unknown,,unknown,,"Boletus aereus",,Bull.,,,,,,,urn:uuid:f74075b1-4d04-4664-82d1-aa5840b2a8e3,"2014-08-28 13:13:21"
666963,Vellinga,,"Aug 2014",,"Boletus regineus",,"Arora & Simonini",,,,,,"Replaces the name B. aereus for west coast specimens",urn:uuid:53511da6-44e0-4899-b531-b6588f139ef9,"2014-08-28 13:14:20"
666963,unknown,,unknown,,"Boletus aereus",,Bull.,,,,,,,urn:uuid:6bcde923-e3c8-4b1f-80ec-ab5c69a09e33,"2014-08-28 13:14:20"
2311972,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:4f291572-8430-4753-885a-7251e435314c,"2014-09-03 13:39:06"
1993445,"D. Arora",,2000-08-00,,"Phlebopus lignicola",,"(Kallenb.) M.M. Moser",,,,,,,urn:uuid:e73622d1-534f-4c23-bf0c-52481ebe14d0,"2014-09-16 13:22:01"
1993442,"D. Arora",,2000-08-00,,"Phlebopus hemichrysus",,,,,,,,,urn:uuid:8aa2fd7d-bcb9-49cb-9296-7d00c5eb6761,"2014-09-16 13:37:03"
2318619,"A. S. Methven",,1990-12-15,,"Lactarius alnicola var. alnicola",,"A.H. Sm.",,,,,,,urn:uuid:6939f5a2-c562-426d-b987-bdb0e19ac282,"2014-09-16 16:36:18"
2318619,unknown,,unknown,,"Lactarius psammicola",,"A.H. Sm.",,,,,,,urn:uuid:57d0b299-7099-45cc-8587-365a8faeeeba,"2014-09-16 16:36:18"
602415,"J. L. Frank",,2013,,"Butyriboletus persolidus",,,,,,,,,urn:uuid:52ea4a37-252a-4b2a-99f4-fceda563bc0a,"2014-09-29 12:28:41"
1451089,unknown,,unknown,,"Boletus regius",,Krombh.,,,,,,,urn:uuid:1bfa9ffe-b439-4d56-a1ec-e3f4a4fba63d,"2014-09-29 13:36:38"
1451087,"J. L. Frank",,2012,,"Butyriboletus autumniregius",,,,,,,,,urn:uuid:fc123eb3-e528-4544-9b06-fc7c00968113,"2014-09-29 13:55:42"
602444,"J. L. Frank",,2012,,"Butyriboletus persolidus",,"D. Arora & J.L. Frank",,,,,,,urn:uuid:d95fb161-c22d-4907-b7fb-4daf9fe1ef1c,"2014-09-29 13:59:34"
1451092,"J. L. Frank",,2012,,"Butyriboletus primiregius",,,,,,,,,urn:uuid:4c258b15-cdeb-473a-a7f2-8f64f8cf8099,"2014-09-29 14:04:19"
602411,"J. L. Frank",,2012,,"Butyriboletus primiregius",,,,,,,,,urn:uuid:5b735fac-2274-49a2-bae3-6b3c4f0b14e7,"2014-09-29 14:08:00"
600582,"J. L. Frank",,2012,,"Butyriboletus primiregius",,,,,,,,,urn:uuid:53bf5f6b-ca40-4837-b910-ab474b470e27,"2014-09-29 14:08:43"
605162,"M.E. Smith",,"May 2012",,"Lepiota viridigleba",,,,,,,"Mycol. Prog. 12, 151-155 (2013)",,urn:uuid:59e54425-b760-42af-a796-fe3d08f51123,"2014-09-29 15:56:56"
2266921,"R. H. Petersen",,2/9/98,,"Gomphus bonarii",,"(Morse) Singer",,,,,,,urn:uuid:0f59c899-2c50-4d41-8371-30ecc826e830,"2014-10-16 17:41:33"
2266802,"A. J. Giachini",,"July, 2003",,"Turbinellus floccosus",,"(Schwein.) anon.",,,,,,,urn:uuid:096d2f78-7996-4bc0-8833-caf0b3cd84a8,"2014-10-16 18:33:50"
2266787,"A. J. Giachini",,"July 2003",,"Turbinellus floccosus",,"(Schwein.) anon.",,,,,,,urn:uuid:22e5fd4c-09c1-4a47-b22e-14f601c74a48,"2014-10-16 18:38:30"
2382482,"R. Keller",,1969,,"Lactarius subdulcis",,"(Pers.) Gray",,,,,,,urn:uuid:316e1ca3-79b7-4fd6-bfbc-522f72f18966,"2014-10-21 14:11:13"
2385213,"Van De Putte",,2010,,"Lactarius acicularis",,"Van De Putte & Verbeken",,,,,"Van De Putte et al., 2010. Lactarius volemus sensu lato (Russulales) from northern Thailand: morphological and phylogenetic species concepts explored. Fungal Diversity 45: 99–130",,urn:uuid:3d35c702-fa59-46f3-a7d2-703493c83572,"2014-10-28 15:10:29"
